[1, 545] | loss: 4.4648 | contrastive: 3.8138 | asl: 0.6510
[1, 550] | loss: 4.4318 | contrastive: 3.7977 | asl: 0.6341
[1, 555] | loss: 4.4222 | contrastive: 3.7840 | asl: 0.6382
[1, 560] | loss: 4.4875 | contrastive: 3.8229 | asl: 0.6647
[1, 565] | loss: 4.4675 | contrastive: 3.8086 | asl: 0.6589
[1, 570] | loss: 4.4687 | contrastive: 3.7878 | asl: 0.6810
[1, 575] | loss: 4.5195 | contrastive: 3.8466 | asl: 0.6729
[1, 580] | loss: 4.4612 | contrastive: 3.8194 | asl: 0.6418
[1, 585] | loss: 4.4506 | contrastive: 3.8046 | asl: 0.6460
[1, 590] | loss: 4.4721 | contrastive: 3.8195 | asl: 0.6525
[1, 595] | loss: 4.4375 | contrastive: 3.8138 | asl: 0.6237
[1, 600] | loss: 4.4984 | contrastive: 3.8243 | asl: 0.6740
[1, 605] | loss: 4.4684 | contrastive: 3.8190 | asl: 0.6494
[1, 610] | loss: 4.4516 | contrastive: 3.7910 | asl: 0.6606
[1, 615] | loss: 4.4913 | contrastive: 3.8262 | asl: 0.6651
[1, 620] | loss: 4.4660 | contrastive: 3.8187 | asl: 0.6473
[1, 625] | loss: 4.4362 | contrastive: 3.8204 | asl: 0.6157
[1, 630] | loss: 4.4613 | contrastive: 3.8146 | asl: 0.6467
[1, 635] | loss: 4.4482 | contrastive: 3.8227 | asl: 0.6254
[1, 640] | loss: 4.4704 | contrastive: 3.8240 | asl: 0.6465
[1, 645] | loss: 4.4616 | contrastive: 3.8161 | asl: 0.6454
[1, 650] | loss: 4.4815 | contrastive: 3.8045 | asl: 0.6770
[1, 655] | loss: 4.4913 | contrastive: 3.8292 | asl: 0.6620
[1, 660] | loss: 4.4138 | contrastive: 3.7975 | asl: 0.6163
[1, 665] | loss: 4.4981 | contrastive: 3.8221 | asl: 0.6760
[1, 670] | loss: 4.4170 | contrastive: 3.7882 | asl: 0.6288
[1, 675] | loss: 4.4736 | contrastive: 3.8123 | asl: 0.6613
[1, 680] | loss: 4.4628 | contrastive: 3.8218 | asl: 0.6410
[1, 685] | loss: 4.4755 | contrastive: 3.8324 | asl: 0.6431
[1, 690] | loss: 4.4628 | contrastive: 3.8096 | asl: 0.6532
[1, 695] | loss: 4.5091 | contrastive: 3.8208 | asl: 0.6884
[1, 700] | loss: 4.4653 | contrastive: 3.8242 | asl: 0.6411
[1, 705] | loss: 4.4549 | contrastive: 3.8150 | asl: 0.6400
[1, 710] | loss: 4.4884 | contrastive: 3.8162 | asl: 0.6721
[1, 715] | loss: 4.4604 | contrastive: 3.8066 | asl: 0.6538
[1, 720] | loss: 4.4169 | contrastive: 3.8064 | asl: 0.6105
[1, 725] | loss: 4.4539 | contrastive: 3.7977 | asl: 0.6562
[1, 730] | loss: 4.4022 | contrastive: 3.7794 | asl: 0.6228
[1, 735] | loss: 4.4507 | contrastive: 3.7972 | asl: 0.6535
[1, 740] | loss: 4.4186 | contrastive: 3.8121 | asl: 0.6065
[1, 745] | loss: 4.5198 | contrastive: 3.8239 | asl: 0.6959
[1, 750] | loss: 4.4780 | contrastive: 3.8057 | asl: 0.6723
[1, 755] | loss: 4.4224 | contrastive: 3.7854 | asl: 0.6371
